ICD10CMCode,TotalDiag,,
S64.490S,0,0,1
S64.492S,0,0,1
S64.493S,0,0,3
S64.495S,0,0,5
S64.497S,0,0,3
S65.011D,0,0,1
S65.092A,0,0,1
S65.590A,0,0,2
S65.590D,0,0,1
S65.594D,0,0,1
S65.892D,0,0,1
S66.001S,0,0,1
S66.012S,0,0,1
S66.021S,0,0,1
S66.102S,0,0,1
S66.103S,0,0,1
S66.104S,0,0,1
S66.106S,0,0,2
S66.112D,0,0,1
S66.112S,0,0,1
S66.113D,0,0,2
S66.113S,0,0,1
S66.114D,0,0,5
S66.117D,0,0,2
S66.117S,0,0,1
S66.118D,0,0,2
S66.120S,0,0,7
S66.121S,0,0,4
S66.122S,0,0,5
S66.123S,0,0,3
S66.124S,0,0,6
S66.125S,0,0,4
S66.127S,0,0,5
S66.129S,0,0,3
S66.190D,0,0,1
S66.191D,0,0,1
S66.192S,0,0,2
S66.193D,0,0,2
S66.195D,0,0,1
S66.197D,0,0,2
S66.211S,0,0,1
S66.212D,0,0,2
S66.212S,0,0,2
S66.221S,0,0,1
S66.300D,0,0,1
S66.300S,0,0,1
S66.302D,0,0,1
S66.302S,0,0,1
S66.304S,0,0,1
S66.306S,0,0,1
S66.309S,0,0,2
S66.312D,0,0,2
S66.315D,0,0,1
S66.316D,0,0,1
S66.316S,0,0,1
S66.319D,0,0,8
S66.321S,0,0,1
S66.323S,0,0,2
S66.324S,0,0,2
S66.325S,0,0,1
S66.327S,0,0,1
S66.390S,0,0,1
S66.391D,0,0,1
S66.392S,0,0,1
S66.393D,0,0,1
S66.397D,0,0,1
S66.409S,0,0,1
S66.526S,0,0,1
S66.529S,0,0,2
S66.812S,0,0,2
S66.891D,0,0,1
S66.891S,0,0,1
S66.901S,0,0,1
S67.01XS,0,0,2
S67.10XS,0,0,1
S67.191S,0,0,8
S67.196S,0,0,2
S67.198D,0,0,1
S67.41XS,0,0,1
S67.42XS,0,0,3
S67.91XD,0,0,1
S68.011S,0,0,2
S68.012S,0,0,1
S68.019S,0,0,1
S68.111S,0,0,3
S68.114S,0,0,1
S68.115S,0,0,2
S68.116S,0,0,2
S68.119S,0,0,2
S68.412D,0,0,1
S68.512S,0,0,1
S68.521S,0,0,2
S68.529S,0,0,1
S68.610D,0,0,1
S68.613S,0,0,2
S68.617S,0,0,1
S68.621S,0,0,1
S68.625S,0,0,2
S68.627S,0,0,1
S68.722S,0,0,1
S71.022D,0,0,1
S71.142S,0,0,2
S72.034S,0,0,1
S72.042K,0,0,1
S72.131G,0,0,1
S72.145K,0,0,1
S72.21XG,0,0,1
S72.22XK,0,0,1
S72.24XD,0,0,1
S72.25XG,0,0,1
S72.302K,0,0,8
S72.302M,0,0,1
S72.302N,0,0,1
S72.302Q,0,0,1
S72.309D,0,0,1
S72.321G,0,0,1
S72.322S,0,0,2
S72.324G,0,0,1
S72.331D,0,0,1
S72.331K,0,0,1
S72.332G,0,0,1
S72.332K,0,0,1
S72.332N,0,0,1
S72.334S,0,0,1
S72.341S,0,0,1
S72.351Q,0,0,1
S72.352C,0,0,1
S72.352K,0,0,2
S72.352P,0,0,2
S72.352S,0,0,1
S72.361K,0,0,2
S72.392G,0,0,1
S72.392P,0,0,1
S72.401F,0,0,1
S72.402N,0,0,1
S72.411G,0,0,1
S72.412S,0,0,1
S72.413D,0,0,1
S72.416A,0,0,1
S72.421G,0,0,1
S72.422G,0,0,1
S72.451B,0,0,1
S72.451K,0,0,1
S72.452G,0,0,1
S72.452M,0,0,1
S72.453D,0,0,1
S72.454K,0,0,1
S72.455K,0,0,1
S72.455S,0,0,1
S72.461K,0,0,1
S72.462K,0,0,1
S72.492N,0,0,1
S72.492S,0,0,1
S72.8X1G,0,0,2
S73.002D,0,0,1
S73.003A,0,0,1
S73.014D,0,0,1
S73.191S,0,0,4
S73.192S,0,0,5
S73.199D,0,0,1
S74.01XD,0,0,1
S74.11XS,0,0,1
S74.12XS,0,0,1
S74.20XS,0,0,1
S74.21XD,0,0,1
S74.21XS,0,0,3
S74.22XS,0,0,1
S74.8X2A,0,0,1
S74.91XS,0,0,1
S74.92XS,0,0,1
S75.009A,0,0,1
S75.892A,0,0,1
S76.022A,0,0,1
S76.092D,0,0,1
S76.192S,0,0,1
S76.821D,0,0,1
S78.011A,0,0,1
S79.111D,0,0,1
S79.122D,0,0,1
S79.122S,0,0,1
S79.131S,0,0,1
S79.191K,0,0,1
S79.811S,0,0,1
S80.841A,0,0,1
S80.851S,0,0,1
S82.011D,0,0,2
S82.011S,0,0,1
S82.012S,0,0,1
S82.013A,0,0,1
S82.022K,0,0,1
S82.024K,0,0,1
S82.031P,0,0,2
S82.032K,0,0,3
S82.041G,0,0,1
S82.041S,0,0,3
S82.045K,0,0,1
S82.092K,0,0,2
S82.092S,0,0,5
S82.101M,0,0,1
S82.102F,0,0,1
S82.102S,0,0,2
S82.109M,0,0,1
S82.111B,0,0,1
S82.111S,0,0,1
S82.115S,0,0,1
S82.121S,0,0,1
S82.131D,0,0,1
S82.132S,0,0,1
S82.133D,0,0,1
S82.135D,0,0,1
S82.152K,0,0,1
S82.152P,0,0,1
S82.161K,0,0,1
S82.191K,0,0,2
S82.191R,0,0,1
S82.192K,0,0,2
S82.201J,0,0,1
S82.201M,0,0,6
S82.201N,0,0,2
S82.201Q,0,0,2
S82.201R,0,0,1
S82.202J,0,0,1
S82.202N,0,0,3
S82.221P,0,0,1
S82.221S,0,0,1
S82.222C,0,0,1
S82.222Q,0,0,1
S82.224G,0,0,1
S82.224P,0,0,1
S82.231K,0,0,1
S82.231S,0,0,1
S82.232E,0,0,1
S82.232K,0,0,1
S82.235K,0,0,1
S82.241G,0,0,1
S82.242J,0,0,1
S82.242N,0,0,1
S82.245K,0,0,1
S82.251M,0,0,1
S82.251N,0,0,1
S82.252C,0,0,1
S82.252F,0,0,1
S82.252K,0,0,4
S82.252M,0,0,1
S82.254B,0,0,1
S82.254K,0,0,1
S82.255G,0,0,1
S82.261K,0,0,1
S82.262G,0,0,1
S82.262K,0,0,1
S82.265K,0,0,1
S82.291K,0,0,5
S82.291M,0,0,2
S82.291P,0,0,1
S82.292H,0,0,4
S82.292J,0,0,1
S82.292P,0,0,1
S82.301F,0,0,2
S82.301H,0,0,1
S82.301M,0,0,3
S82.301P,0,0,4
S82.302C,0,0,1
S82.302F,0,0,2
S82.302M,0,0,1
S82.391H,0,0,1
S82.391P,0,0,3
S82.392M,0,0,2
S82.401M,0,0,1
S82.401Q,0,0,1
S82.402M,0,0,3
S82.402N,0,0,1
S82.402R,0,0,1
S82.409K,0,0,1
S82.421B,0,0,1
S82.424K,0,0,1
S82.451S,0,0,1
S82.452C,0,0,1
S82.452E,0,0,1
S82.452K,0,0,1
S82.455M,0,0,1
S82.462G,0,0,1
S82.492H,0,0,1
S82.51XC,0,0,1
S82.51XP,0,0,6
S82.52XP,0,0,7
S82.54XP,0,0,1
S82.55XS,0,0,1
S82.61XF,0,0,1
S82.61XN,0,0,1
S82.61XP,0,0,9
S82.61XQ,0,0,1
S82.62XE,0,0,1
S82.62XF,0,0,1
S82.62XH,0,0,1
S82.62XM,0,0,2
S82.63XB,0,0,1
S82.64XP,0,0,1
S82.66XK,0,0,1
S82.831M,0,0,1
S82.831P,0,0,6
S82.832C,0,0,1
S82.839M,0,0,1
S82.843B,0,0,1
S82.843S,0,0,1
S82.844G,0,0,1
S82.844S,0,0,1
S82.851N,0,0,1
S82.852H,0,0,1
S82.861B,0,0,2
S82.865B,0,0,1
S82.865D,0,0,2
S82.871B,0,0,5
